items,class_code
"Xerox paper",10103
"C SCAN Machine",10201
"CARBON FIBER",20202
"MATERIAL",40404
"DESKTOP COMPUTER",10401
"Type 119-171 wattmeters as above but with a single current ratings of 30 Amps, scaled 0-3600 watts",522001
"Gypsy Maruti  King MP14 WD 12988 CC RHD",231002
"Steel rule 1 mtr length",522003
"Steel rule 102/1 length 1000mm cross section 40x8mm",522003
"Mahindra Vehicle model No. FJ460",231002
"Go+ Datsun A (O) BS IV Petrol",231001
"Go+ Datsun A BS IV Petrol",231001
"Go+ Datsun D BS IV Petrol",231001
"Go+ Datsun T (O) BS IV Petrol",231001
"Go+ Datsun T (O) Cvt BS IV Petrol",231001
"Go+ Datsun T (O) Vdc BS IV Petrol",231001
"Go+ Datsun T BS IV Petrol",231001
"Go+ Datsun T Cvt BS IV Petrol",231001
"Go+ Datsun T Vdc BS IV Petrol",231001
"Mercedes-Benz A-Class 180 BS IV Petrol",231002
"Mercedes-Benz A-Class 200D BS IV Diesel",231002
"Mercedes-Benz Amg Gt 4-Door Coupe 63 S 4Matic+ BS 6 Petrol",231002
"Mercedes-Benz Amg-Gt R BS IV Petrol",231002
"Mercedes-Benz Amg-Gt Roadster BS IV Petrol",231002
"Mercedes-Benz Amg-Gt S BS IV Petrol",231002
"Mercedes-Benz C-Class C 200 Prime BS 6 Petrol",231002
"Mercedes-Benz C-Class C 200 Progressive BS 6 Petrol",231002
"Mercedes-Benz C-Class C 220D Prime BS 6 Diesel",231002
"Mercedes-Benz C-Class C 220D Progressive BS 6 Diesel",231002
"Mercedes-Benz C-Class C 300D Amg Line BS 6 Diesel",231002
"Mercedes-Benz C-Class C 43 Amg BS 6 Petrol",231002
"Mercedes-Benz C-Class Cabriolet C300 BS 6 Petrol",231002
"Mercedes-Benz Cla-Class 200 D Sport BS IV Diesel",231002
"Mercedes-Benz Cls 300D BS 6 Diesel",231002
"Mercedes-Benz E-Class All Terrain E 220D BS 6 Diesel",231002
"Mercedes-Benz E-Class Cabriolet E400 BS IV Petrol",231002
"Mercedes-Benz E-Class E 63 S Amg BS IV Petrol",231002
"Mercedes-Benz E-Class E200 BS IV Petrol",231002
"Mercedes-Benz E-Class E200 Exclusive BS IV Petrol",231002
